Keyword Stats 2026-06-18 at 12_03_39
1. Juni 2025 - 31. Mai 2026
Keyword	Currency	Avg. monthly searches	Änderung über drei Monate	Änderung im Jahresvergleich	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026
klimaanlage als heizung	EUR	5000	0%	0%	Hoch	100	"0,29"	"1,48"																	
klimaanlage heizen kosten	EUR	500	0%	0%	Hoch	94	"0,16"	"1,48"																	
wärmepumpe oder klimaanlage	EUR	5000	0%	0%	Hoch	100	"0,52"	"2,34"																	
klimaanlage mit photovoltaik	EUR	500	900%	0%	Hoch	100	"1,14"	"3,70"																	
klimaanlage förderung	EUR	500	900%	900%	Mittel	59	"0,27"	"1,73"																	
klimaanlage zum heizen	EUR	5000	0%	0%	Hoch	100	"0,29"	"1,48"																	
heizen mit klimaanlage	EUR	5000	0%	0%	Hoch	100	"0,29"	"1,48"																	
beste split klimaanlage zum heizen	EUR	500	0%	0%	Hoch	100	"0,31"	"1,21"																	
mit klimaanlage heizen	EUR	500	0%	0%	Hoch	100	"0,15"	"1,13"																	
klimaanlage heizen	EUR	5000	0%	0%	Hoch	100	"0,29"	"1,48"																	
klimagerät mit heizfunktion	EUR	500	0%	0%	Hoch	100	"0,26"	"1,02"																	
klimaanlage wärmepumpe	EUR	5000	0%	0%	Hoch	100	"0,52"	"2,34"																	
förderung klimaanlage	EUR	500	900%	900%	Mittel	57	"0,23"	"1,23"																	
wärmepumpe klimaanlage	EUR	5000	0%	0%	Hoch	100	"0,52"	"2,34"																	
mitsubishi klimaanlage heizen	EUR	500	0%	0%	Hoch	100	"0,30"	"0,97"																	
klimaanlage mit heizung	EUR	5000	0%	0%	Hoch	100	"0,29"	"1,48"																	
heizen mit klimaanlage erfahrungsberichte	EUR	500	0%	0%	Hoch	88	"0,13"	"1,20"																	
