Keyword Stats 2026-06-18 at 20_22_19
1. Juni 2025 - 31. Mai 2026
Keyword	Currency	Avg. monthly searches	Änderung über drei Monate	Änderung im Jahresvergleich	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026
photovoltaik kosten	EUR	5000	0%	0%	Hoch	92	"1,56"	"4,18"																	
solaranlage kosten	EUR	5000	0%	0%	Hoch	93	"1,89"	"5,23"																	
photovoltaik mit speicher kosten	EUR	5000	0%	0%	Hoch	100	"1,28"	"4,70"																	
stromspeicher kosten	EUR	5000	0%	0%	Hoch	100	"0,63"	"1,78"																	
photovoltaik lohnt sich	EUR	500	0%	0%	Hoch	68	"1,19"	"3,99"																	
photovoltaik förderung	EUR	5000	0%	0%	Hoch	78	"1,61"	"4,29"																	
photovoltaik steuer	EUR	500	0%	0%	Niedrig	17	"0,23"	"1,24"																	
photovoltaik einfamilienhaus	EUR	50	-90%	-90%	Hoch	73	"1,93"	"6,96"																	
förderung photovoltaik	EUR	5000	0%	0%	Hoch	78	"1,24"	"3,25"																	
pv anlage förderung	EUR	5000	0%	0%	Hoch	80	"1,91"	"5,09"																	
photovoltaikanlage kosten	EUR	5000	0%	0%	Hoch	85	"1,60"	"4,83"																	
pv anlage kosten	EUR	5000	0%	0%	Hoch	90	"2,11"	"5,78"																	
enpal kosten	EUR	500	0%	0%	Hoch	73	"2,01"	"7,16"																	
solaranlage förderung	EUR	5000	0%	0%	Hoch	80	"1,70"	"5,33"																	
kosten solaranlage	EUR	5000	0%	0%	Hoch	93	"1,89"	"5,23"																	
solaranlage mit speicher kosten	EUR	5000	0%	0%	Hoch	99	"2,15"	"6,34"																	
kosten photovoltaikanlage	EUR	5000	0%	0%	Hoch	85	"1,60"	"4,83"																	
photovoltaikanlagen	EUR	5000	0%	-90%	Hoch	100	"2,51"	"7,01"																	
kosten pv anlage	EUR	5000	0%	0%	Hoch	90	"2,11"	"5,78"																	
förderung photovoltaik 2023	EUR	50	0%	0%	Mittel	39																			
kosten pv anlage mit speicher	EUR	5000	0%	0%	Hoch	100	"1,88"	"5,99"																	
balkonkraftwerk förderung	EUR	5000	0%	0%	Hoch	95	"0,35"	"2,09"																	
kfw förderung photovoltaik	EUR	5000	0%	0%	Hoch	74	"0,52"	"4,06"																	
kosten solaranlage mit speicher	EUR	5000	0%	0%	Hoch	99	"2,15"	"6,34"																	
photovoltaikanlage förderung	EUR	5000	0%	0%	Hoch	79	"1,46"	"4,25"																	
förderung solaranlage	EUR	5000	0%	0%	Hoch	80	"1,70"	"5,33"																	
kredit photovoltaik	EUR	500	0%	0%	Hoch	81	"2,31"	"8,33"																	
kosten photovoltaik	EUR	500	0%	0%	Hoch	82	"1,77"	"4,74"																	
pv anlage mit speicher kosten	EUR	5000	0%	0%	Hoch	100	"1,88"	"5,99"																	
speicher balkonkraftwerk	EUR	5000	0%	0%	Hoch	100	"0,80"	"2,46"																	
solarthermie kosten	EUR	5000	0%	0%	Hoch	100	"0,72"	"2,22"																	
förderung pv anlage	EUR	5000	0%	0%	Hoch	78	"1,33"	"3,55"																	
photovoltaik förderung 2023	EUR	50	0%	0%	Niedrig	5																			
kfw kredit photovoltaik	EUR	500	0%	0%	Hoch	78	"0,60"	"4,71"																	
strom cloud	EUR	500	0%	-90%	Mittel	64	"0,45"	"1,87"																	
kosten photovoltaik mit speicher	EUR	5000	0%	0%	Hoch	100	"1,28"	"4,70"																	
solaranlage warmwasser	EUR	5000	0%	0%	Hoch	100	"0,48"	"2,31"																	
lohnt sich photovoltaik	EUR	500	0%	0%	Hoch	68	"1,19"	"3,99"																	
warmwasser solar	EUR	5000	0%	0%	Hoch	100	"0,51"	"2,16"																	
kosten photovoltaikanlage mit speicher	EUR	5000	-90%	0%	Hoch	94	"1,81"	"5,66"																	
pv förderung 2023	EUR	50	0%	0%	Niedrig	8																			
photovoltaikanlage mit speicher komplettpaket preis	EUR	50	0%	-90%	Hoch	71	"1,23"	"4,31"																	
staatliche förderung photovoltaik	EUR	500	0%	0%	Hoch	73	"1,19"	"3,64"																	
solaranlage dach kosten	EUR	500	0%	0%	Hoch	82	"2,03"	"6,77"																	
solaranlage kosten rechner	EUR	500	0%	0%	Hoch	83	"1,60"	"4,37"																	
kosten solaranlage dach	EUR	500	0%	0%	Hoch	82	"2,03"	"6,77"																	
photovoltaikanlage kosten rechner	EUR	500	0%	0%	Hoch	77	"1,30"	"3,74"																	
pv anlage 5 kwp mit speicher kosten	EUR	50	0%	0%	Hoch	99	"1,75"	"5,35"																	
zuschuss photovoltaik	EUR	500	0%	0%	Hoch	71	"1,17"	"2,95"																	
stromspeicher förderung	EUR	500	0%	0%	Mittel	49	"0,55"	"1,82"																	
photovoltaikanlage kosten pro m2	EUR	50	0%	-90%	Hoch	81	"1,25"	"3,07"																	
solaranlage förderung 2023	EUR	50	-100%	-100%	Unbekannt																				
kosten pv anlage pro kwp	EUR	500	0%	0%	Hoch	69	"1,50"	"3,71"																	
angebot pv anlage	EUR	500	0%	0%	Hoch	100	"7,94"	"24,38"																	
pv anlage 6 kwp mit speicher kosten	EUR	500	0%	0%	Hoch	100	"1,64"	"4,39"																	
