Keyword Stats 2026-06-18 at 15_27_27
1. Juni 2025 - 31. Mai 2026
Keyword	Currency	Avg. monthly searches	Änderung über drei Monate	Änderung im Jahresvergleich	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026
wärmepumpe kosten	EUR	50000	0%	0%	Hoch	89	"1,53"	"5,00"																	
luft wasser wärmepumpe kosten	EUR	5000	0%	0%	Hoch	97	"1,60"	"4,76"																	
wärmepumpe mit einbau kosten	EUR	500	0%	0%	Hoch	87	"2,07"	"7,40"																	
wärmepumpe förderung	EUR	50000	0%	0%	Hoch	78	"1,55"	"5,88"																	
wärmepumpe altbau	EUR	50000	0%	900%	Hoch	97	"1,37"	"4,34"																	
wärmepumpe oder gasheizung	EUR	500	0%	0%	Hoch	77	"1,06"	"3,85"																	
wärmepumpe stromverbrauch	EUR	50000	-90%	0%	Hoch	69	"0,35"	"1,47"																	
wärmepumpe einfamilienhaus	EUR	5000	-90%	0%	Hoch	100	"1,91"	"6,43"																	
förderung wärmepumpe	EUR	50000	0%	0%	Hoch	79	"0,96"	"3,52"																	
warmwasser wärmepumpe	EUR	50000	0%	0%	Hoch	100	"0,44"	"2,07"																	
kosten wärmepumpe	EUR	5000	-90%	0%	Hoch	82	"1,44"	"4,26"																	
förderung wärmepumpe 2023	EUR	50	0%	0%	Niedrig	25	"0,83"	"1,51"																	
luftwärmepumpe kosten	EUR	5000	0%	0%	Hoch	91	"1,54"	"5,14"																	
erdwärmepumpe kosten	EUR	5000	0%	0%	Hoch	78	"1,13"	"3,41"																	
wärmepumpen preise	EUR	5000	0%	0%	Hoch	100	"1,16"	"3,42"																	
bafa förderung wärmepumpe	EUR	5000	0%	0%	Hoch	69	"0,67"	"3,18"																	
wärmepumpe für altbau	EUR	50000	0%	900%	Hoch	97	"1,37"	"4,34"																	
wärmepumpentarif strom	EUR	5000	0%	0%	Hoch	79	"0,66"	"2,29"																	
gasheizung umrüsten auf wärmepumpe kosten	EUR	5000	0%	0%	Hoch	74	"0,99"	"3,06"																	
stromverbrauch wärmepumpe	EUR	50000	-90%	0%	Hoch	69	"0,35"	"1,47"																	
strom wärmepumpe	EUR	5000	0%	0%	Hoch	76	"0,76"	"2,69"																	
luftwärmepumpe preis	EUR	500	0%	0%	Hoch	100	"1,13"	"3,59"																	
ölheizung umrüsten auf wärmepumpe kosten	EUR	5000	0%	0%	Hoch	76	"1,16"	"4,09"																	
kosten wärmepumpe einfamilienhaus	EUR	5000	0%	0%	Hoch	86	"1,42"	"4,71"																	
beste wärmepumpe für altbau	EUR	5000	0%	0%	Hoch	97	"0,92"	"2,68"																	
wärmepumpe warmwasser	EUR	50000	0%	0%	Hoch	100	"0,44"	"2,07"																	
kosten wärmepumpe altbau	EUR	5000	0%	0%	Hoch	82	"1,51"	"4,45"																	
wärmepumpen förderung 2023	EUR	50	0%	0%	Niedrig	8																			
wärmepumpe kosten altbau	EUR	500	-90%	0%	Hoch	85	"1,11"	"3,53"																	
strom für wärmepumpe	EUR	5000	0%	0%	Hoch	76	"0,76"	"2,69"																	
kfw förderung wärmepumpe	EUR	50000	0%	0%	Hoch	69	"0,21"	"2,76"																	
wärmepumpe für altbau ohne fußbodenheizung	EUR	5000	0%	0%	Hoch	98	"0,94"	"3,04"																	
wärmepumpe heizung kosten	EUR	500	0%	0%	Hoch	87	"1,51"	"5,14"																	
luft luft wärmepumpe kosten	EUR	5000	0%	900%	Hoch	100	"0,91"	"3,27"																	
preis wärmepumpe	EUR	5000	0%	0%	Hoch	97	"1,14"	"3,29"																	
zuschuss wärmepumpe	EUR	5000	0%	0%	Hoch	79	"1,00"	"3,18"																	
wärmepumpe für warmwasser	EUR	50000	0%	0%	Hoch	100	"0,44"	"2,07"																	
förderung wärmepumpe 2022	EUR	50	0%	0%	Niedrig	1																			
wärmepumpe im altbau	EUR	5000	0%	900%	Hoch	81	"1,13"	"3,43"																	
luftwärmepumpe altbau	EUR	500	0%	0%	Hoch	100	"1,20"	"3,83"																	
wärmepumpe einbauen	EUR	5000	0%	0%	Hoch	81	"2,35"	"11,59"																	
erdwärme kosten	EUR	500	0%	0%	Hoch	69	"0,82"	"3,11"																	
kosten wärmepumpenheizung	EUR	500	0%	0%	Hoch	77	"1,40"	"4,95"																	
kosten luftwärmepumpe	EUR	5000	0%	0%	Hoch	91	"1,54"	"5,14"																	
wärmepumpe kosten einfamilienhaus	EUR	5000	0%	0%	Hoch	86	"1,42"	"4,71"																	
wärmepumpe strom	EUR	500	-90%	0%	Hoch	78	"1,04"	"3,16"																	
kosten wärmepumpe mit einbau	EUR	5000	0%	0%	Hoch	81	"1,58"	"4,88"																	
förderung gasheizung 2023	EUR	50	0%	-100%	Unbekannt																				
wärmepumpe altbau kosten	EUR	500	-90%	0%	Hoch	93	"1,31"	"4,48"																	
hochtemperatur wärmepumpe für altbau	EUR	500	0%	0%	Hoch	97	"0,88"	"2,61"																	
kosten erdwärmepumpe	EUR	500	0%	0%	Hoch	77	"1,10"	"3,52"																	
förderung für wärmepumpe	EUR	50000	0%	0%	Hoch	79	"0,96"	"3,52"																	
luftwärmepumpe stromverbrauch	EUR	500	0%	0%	Mittel	56	"0,37"	"1,49"																	
heizung wärmepumpe kosten	EUR	500	0%	0%	Hoch	76	"1,23"	"4,01"																	
wärmepumpen förderung 2022	EUR	50	0%	0%	Mittel	37																			
wärmepumpe zuschuss	EUR	5000	0%	0%	Hoch	79	"1,00"	"3,18"																	
wieviel strom braucht eine wärmepumpe	EUR	5000	0%	900%	Hoch	72	"0,32"	"1,51"																	
viessmann wärmepumpe altbau	EUR	500	0%	0%	Hoch	96	"1,05"	"2,82"																	
förderung wärmepumpe bafa	EUR	50	0%	0%	Hoch	67	"0,44"	"2,00"																	
luft luft wärmepumpe förderung	EUR	500	0%	0%	Hoch	77	"0,77"	"3,44"																	
luftwärmepumpe förderung	EUR	500	0%	0%	Hoch	72	"1,30"	"5,33"																	
luft luft wärmepumpe altbau	EUR	500	0%	0%	Hoch	100	"0,86"	"2,62"																	
habeck wärmepumpe förderung	EUR	50	-100%	0%	Unbekannt																				
hybrid gasheizung	EUR	500	0%	0%	Hoch	100	"0,68"	"2,18"																	
